Actor,Behavior,start.time,end.times
ID1,stand up,1534401925181,1534401928681
ID1,walk up,1534401928781,1534401931381
ID1,stand down,1534401931481,1534401973181
ID1,stand up,1534401973281,1534402014881
ID1,walk up,1534402014981,1534402031881
ID1,stand up,1534402031981,1534402033581
ID1,stand down,1534402033681,1534402034281
ID1,stand up,1534402034381,1534402034981
ID1,stand down,1534402035081,1534402048681
ID1,walk down,1534402048781,1534402051281
ID1,ramble down,1534402051381,1534402051981
ID1,stand down,1534402052081,1534402056081
ID1,ramble down,1534402056181,1534402058381
ID1,stand down,1534402058481,1534402061081
ID1,walk up,1534402061181,1534402071181
ID1,stand up,1534402071281,1534402072981
ID1,walk up,1534402073081,1534402076981
ID1,trot,1534402077081,1534402077481
ID1,walk up,1534402077581,1534402078381
ID1,stand up,1534402078481,1534402083081
ID1,walk up,1534402083181,1534402089681
ID1,stand up,1534402089781,1534402090281
ID1,walk up,1534402090381,1534402092281
ID1,trot,1534402092381,1534402096781
ID1,walk up,1534402096881,1534402099881
ID1,trot,1534402099981,1534402100481
ID1,walk up,1534402100581,1534402102581
ID1,stand down,1534402102681,1534402108081
ID1,walk up,1534402108181,1534402118481
ID1,stand up,1534402118581,1534402128281
ID1,walk up,1534402128381,1534402133881
ID1,trot,1534402133981,1534402134781
ID1,canter_right lead,1534402134881,1534402137481
ID1,walk up,1534402137581,1534402149881
ID1,stand down,1534402149981,1534402156381
ID1,stand up,1534402156481,1534402173781
ID1,walk up,1534402173881,1534402191581
ID1,stand up,1534402191681,1534402193681
ID1,walk up,1534402193781,1534402195181
ID1,stand down,1534402195281,1534402203581
ID1,walk up,1534402203681,1534402207681
ID1,stand up,1534402207781,1534402208381
ID1,walk up,1534402208481,1534402252481
ID1,stand down,1534402252581,1534402254881
ID1,walk up,1534402254981,1534402258781
ID1,walk down,1534402258881,1534402261681
ID1,stand down,1534402261781,1534402265481
ID1,walk down,1534402265581,1534402266381
ID1,ramble down,1534402266481,1534402269281
ID1,stand down,1534402269381,1534402272981
ID1,walk down,1534402273081,1534402277581
ID1,stand down,1534402277681,1534402297581
ID1,ramble down,1534402297681,1534402303781
ID1,stand up,1534402303881,1534402306481
ID1,walk down,1534402306581,1534402316781
ID1,stand up,1534402316881,1534402319481
ID1,walk up,1534402319581,1534402320481
ID1,stand up,1534402320581,1534402327381
ID1,walk up,1534402327481,1534402337381
ID1,walk down,1534402337481,1534402343481
ID1,stand down,1534402343581,1534402353381
ID1,walk up,1534402353481,1534402363881
ID1,stand down,1534402363981,1534402383081
ID1,walk up,1534402383181,1534402393281
ID1,stand down,1534402393381,1534402402781
ID1,stand up,1534402402881,1534402419881
ID1,walk up,1534402419981,1534402420781
ID1,stand down,1534402420881,1534402430081
ID1,walk down,1534402430181,1534402431181
ID1,stand down,1534402431281,1534402438781
ID1,walk down,1534402438881,1534402440581
ID1,stand down,1534402440681,1534402444581
ID1,ramble down,1534402444681,1534402447481
ID1,stand down,1534402447581,1534402463481
ID1,walk up,1534402463581,1534402466381
ID1,trot,1534402466481,1534402466881
ID1,walk up,1534402466981,1534402472681
ID1,walk down,1534402472781,1534402473381
ID1,stand down,1534402473481,1534402480281
ID1,ramble down,1534402480381,1534402482481
ID1,walk up,1534402482581,1534402499581
ID1,walk down,1534402499681,1534402502981
ID1,stand down,1534402503081,1534402505481
ID1,walk down,1534402505581,1534402506381
ID1,stand down,1534402506481,1534402545581
ID1,stand up,1534402545681,1534402548081
ID1,stand down,1534402548181,1534402565481
ID1,stand up,1534402565581,1534402579581
ID1,ramble down,1534402579681,1534402584081
ID1,stand up,1534402584181,1534402637781
ID1,walk up,1534402637881,1534402641381
ID1,stand down,1534402641481,1534402656781
ID1,stand up,1534402656881,1534402658981
ID1,stand down,1534402659081,1534402685581
ID1,walk up,1534402685681,1534402688981
ID1,stand up,1534402689081,1534402691181
ID1,walk down,1534402691281,1534402699781
ID1,walk up,1534402699881,1534402702181
ID1,walk down,1534402702281,1534402704181
ID1,stand down,1534402704281,1534402716481
ID1,stand up,1534402716581,1534402724981
ID1,stand down,1534402725081,1534402761481
ID1,stand up,1534402761581,1534402792581
ID1,walk up,1534402792681,1534402800581
ID1,stand down,1534402800681,1534402807581
ID1,ramble down,1534402807681,1534402814981
ID1,stand down,1534402815081,1534402829181
