"","Actor","Behavior","start.time","end.times"
"254","ID0","stand down",1534402482528,1534402487828
"256","ID0","ramble up",1534402487928,1534402488628
"257","ID0","stand down",1534402488728,1534402491828
"258","ID0","ramble down",1534402491928,1534402508328
"259","ID0","stand up",1534402508428,1534402535828
"262","ID0","stand down",1534402535928,1534402541828
"264","ID0","ramble down",1534402541928,1534402543928
"265","ID0","stand down",1534402544028,1534402556228
"267","ID0","stand up",1534402556328,1534402556928
"268","ID0","walk up",1534402557028,1534402571828
"270","ID0","stand up",1534402571928,1534402587228
"272","ID0","stand down",1534402587328,1534402591228
"273","ID0","stand up",1534402591328,1534402599228
"275","ID0","walk up",1534402599328,1534402609828
"278","ID0","walk down",1534402609928,1534402614728
"279","ID0","stand down",1534402614828,1534402625028
"281","ID0","walk up",1534402625128,1534402629528
"283","ID0","stand down",1534402629628,1534402634028
"285","ID0","ramble down",1534402634128,1534402635228
"286","ID0","stand down",1534402635328,1534402653028
"287","ID0","ramble down",1534402653128,1534402670328
"291","ID0","stand down",1534402670428,1534402773928
"297","ID0","ramble down",1534402774028,1534402776328
"298","ID0","stand down",1534402776428,1534402799828
"301","ID0","ramble down",1534402799928,1534402826228
"303","ID0","stand down",1534402826328,1534402833728
