TIMESTAM,Latitude,Longitude
1534395960,0.295171667,36.90523333
1534395960,0.295175,36.90523
1534395965,0.295186667,36.90524
1534395966,0.295188333,36.90524333
1534395966,0.29519,36.905245
1534395968,0.295195,36.90524833
1534395970,0.295196667,36.90525333
1534395971,0.295198333,36.90525667
1534395972,0.295201667,36.90526667
1534395974,0.295201667,36.90526833
1534395977,0.295195,36.90528667
1534395978,0.295195,36.90529
1534395978,0.295193333,36.90529167
1534395980,0.295193333,36.90530333
1534395984,0.295205,36.90529167
1534395986,0.295206667,36.90529167
1534395990,0.295208333,36.90528667
1534395992,0.295213333,36.905285
1534395996,0.29522,36.90528
1534395998,0.295223333,36.90528167
1534395999,0.295223333,36.90528167
1534396000,0.295218333,36.90529167
1534396002,0.29523,36.90526833
1534396002,0.295226667,36.905275
1534396006,0.29523,36.905285
1534396007,0.295231667,36.905285
1534396008,0.295233333,36.90528833
1534396010,0.295236667,36.90529167
1534396012,0.295245,36.90530333
1534396013,0.295245,36.905305
1534396018,0.295256667,36.90532167
1534396019,0.29526,36.90532833
1534396024,0.295273333,36.90535
1534396028,0.295278333,36.90536667
1534396029,0.29528,36.90537
1534396033,0.295286667,36.90537667
1534396034,0.295288333,36.90537667
1534396036,0.295293333,36.90538
1534396039,0.295295,36.905375
1534396040,0.2953,36.90537667
1534396042,0.2953,36.90537167
1534396043,0.295311667,36.90538333
1534396044,0.295311667,36.90538333
1534396045,0.295315,36.90538667
1534396046,0.295316667,36.90538833
1534396047,0.29532,36.905395
1534396048,0.295318333,36.90539333
1534396049,0.295321667,36.90539667
1534396050,0.295325,36.9054
1534396051,0.295325,36.90540333
1534396052,0.295326667,36.90540667
1534396053,0.295326667,36.90540667
1534396054,0.295326667,36.90540667
1534396055,0.295325,36.90540667
1534396056,0.295326667,36.90541
1534396057,0.295328333,36.90541
1534396058,0.295328333,36.90541
1534396059,0.295328333,36.90541
1534396060,0.295328333,36.90540333
1534396061,0.295328333,36.90540333
1534396062,0.29533,36.90540333
1534396063,0.29533,36.905405
1534396064,0.295335,36.905405
1534396065,0.295338333,36.905405
1534396070,0.29536,36.90540833
1534396071,0.29536,36.905415
1534396072,0.295363333,36.90542167
1534396073,0.295366667,36.905425
1534396076,0.295375,36.90543333
1534396077,0.295383333,36.905435
1534396080,0.295305,36.90547333
1534396081,0.295296667,36.90548333
1534396086,0.295286667,36.905505
1534396087,0.295285,36.90550333
1534396090,0.295286667,36.9055
1534396094,0.295288333,36.90549667
1534396095,0.295288333,36.90549667
1534396098,0.295288333,36.90549667
1534396099,0.29529,36.90549667
1534396107,0.295333333,36.90553
1534396123,0.295426667,36.90556333
1534396124,0.29543,36.90556833
1534396134,0.295405,36.90557667
1534396136,0.295403333,36.90557333
1534396138,0.295403333,36.90557
1534396139,0.295401667,36.90556833
