TIME,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z
1534395968,0.994140625,0.217041016,-0.084716797,0.580152672,-0.86259542,-1.091603053
1534395968,0.996582031,0.206542969,-0.073974609,0.564885496,-0.770992366,-1.022900763
1534395968,0.990966797,0.213134766,-0.08203125,0.58778626,-0.93129771,-0.984732824
1534395968,0.995605469,0.209960938,-0.072998047,0.687022901,-0.916030534,-1.389312977
1534395968,0.988037109,0.208740234,-0.069824219,0.809160305,-0.938931298,-1.229007634
1534395968,0.991210938,0.209716797,-0.076416016,0.79389313,-1.114503817,-0.885496183
1534395968,0.997314453,0.213134766,-0.076660156,0.625954198,-0.824427481,-0.908396947
1534395968,0.988525391,0.21484375,-0.080810547,0.839694656,-0.854961832,-1.061068702
1534395970,0.994628906,0.209960938,-0.070068359,0.717557252,-1.045801527,-0.847328244
1534395970,0.996337891,0.212158203,-0.077392578,0.893129771,-0.778625954,-0.86259542
1534395970,0.991699219,0.216308594,-0.083496094,0.740458015,-0.854961832,-1.312977099
1534395970,0.993164063,0.210449219,-0.072998047,0.755725191,-0.954198473,-0.908396947
1534395970,0.997314453,0.2109375,-0.086425781,0.801526718,-0.839694656,-0.648854962
1534395970,0.994384766,0.211669922,-0.07421875,0.541984733,-1.091603053,-0.984732824
1534395970,0.991699219,0.209472656,-0.067626953,0.519083969,-1.030534351,-1.129770992
1534395970,0.993408203,0.211914063,-0.081298828,0.839694656,-0.870229008,-0.900763359
1534395971,0.989746094,0.215087891,-0.074707031,0.847328244,-0.877862595,-1.129770992
1534395971,0.9921875,0.212158203,-0.077636719,0.763358779,-0.908396947,-1.167938931
1534395971,0.995361328,0.208007813,-0.077880859,0.709923664,-0.839694656,-1.351145038
1534395971,0.989990234,0.212890625,-0.068847656,0.755725191,-0.854961832,-0.763358779
1534395971,0.995117188,0.216064453,-0.085205078,0.633587786,-0.946564885,-1.145038168
1534395971,0.988769531,0.210693359,-0.072021484,0.72519084,-0.977099237,-0.946564885
1534395971,0.992675781,0.208740234,-0.080810547,0.748091603,-0.877862595,-1.297709924
1534395971,0.985107422,0.206054688,-0.076660156,0.763358779,-0.801526718,-0.877862595
1534395973,,,,,,
1534395973,,,,,,
1534395973,0.991455078,0.212890625,-0.075927734,0.633587786,-0.854961832,-0.732824427
1534395973,,,,,,
1534395973,0.994628906,0.211914063,-0.072265625,0.732824427,-0.854961832,-1.022900763
1534395973,,,,,,
1534395973,0.99609375,0.2109375,-0.074462891,0.755725191,-0.870229008,-1.091603053
1534395973,0.994628906,0.212646484,-0.079101563,0.595419847,-0.770992366,-1.061068702
1534395975,0.990722656,0.211425781,-0.072753906,0.65648855,-0.595419847,-1.114503817
1534395975,0.994140625,0.211914063,-0.078369141,0.557251908,-0.870229008,-1.160305344
1534395975,0.993652344,0.210693359,-0.07421875,0.748091603,-0.748091603,-0.816793893
1534395975,0.995117188,0.20703125,-0.072753906,0.93129771,-0.900763359,-0.824427481
1534395975,0.994384766,0.211181641,-0.077392578,0.801526718,-1.030534351,-1.13740458
1534395975,0.992431641,0.210449219,-0.081542969,0.870229008,-0.79389313,-1.061068702
1534395975,0.995361328,0.208251953,-0.078369141,0.557251908,-0.946564885,-1.175572519
1534395975,0.996826172,0.215087891,-0.065673828,0.694656489,-0.923664122,-0.847328244
1534395977,0.995361328,0.212646484,-0.078369141,0.740458015,-1.122137405,-1.20610687
1534395977,0.989501953,0.206542969,-0.080322266,0.770992366,-0.786259542,-1.045801527
1534395977,0.993652344,0.209716797,-0.080078125,0.740458015,-0.992366412,-1.160305344
1534395977,0.992431641,0.2109375,-0.078857422,0.633587786,-1.045801527,-1.099236641
1534395977,0.988525391,0.202392578,-0.073730469,0.916030534,-0.992366412,-1.20610687
