,TIME,Latitude,Longitude,bracelet_ACC_X,bracelet_ACC_Y,bracelet_ACC_Z,bracelet_GYRO_X,bracelet_GYRO_Y,bracelet_GYRO_Z,collar_ACC_X,collar_ACC_Y,collar_ACC_Z,collar_GYRO_X,collar_GYRO_Y,collar_GYRO_Z,collar_MAG_X,collar_MAG_Y,collar_MAG_Z,activity
0,1534395958,0.2903166666666667,36.89642166666667,0.992797851625,0.21163940450000002,-0.077178955125,0.6860687022499999,-0.9017175572499999,-1.071564885375,7.8452677500000005,-2.8673990833333334,-5.1553363333333335,0.06755208333333333,-0.001261249999999999,-0.0275775,-72.13333516666667,-82.05833441666665,70.45833383333336,Unknown
1,1534395959,0.2903166666666667,36.89642166666667,0.992797851625,0.21163940450000002,-0.077178955125,0.6860687022499999,-0.9017175572499999,-1.071564885375,7.8452677500000005,-2.8673990833333334,-5.1553363333333335,0.06755208333333333,-0.001261249999999999,-0.0275775,-72.13333516666667,-82.05833441666665,70.45833383333336,Unknown
2,1534395960,0.2903166666666667,36.89642166666667,0.992797851625,0.21163940450000002,-0.077178955125,0.6860687022499999,-0.9017175572499999,-1.071564885375,7.8452677500000005,-2.8673990833333334,-5.1553363333333335,0.06755208333333333,-0.001261249999999999,-0.0275775,-72.13333516666667,-82.05833441666665,70.45833383333336,Unknown
3,1534395961,0.2903166666666667,36.89642166666667,0.992797851625,0.21163940450000002,-0.077178955125,0.6860687022499999,-0.9017175572499999,-1.071564885375,7.8452677500000005,-2.8673990833333334,-5.1553363333333335,0.06755208333333333,-0.001261249999999999,-0.0275775,-72.13333516666667,-82.05833441666665,70.45833383333336,Unknown
4,1534395962,0.2903166666666667,36.89642166666667,0.992797851625,0.21163940450000002,-0.077178955125,0.6860687022499999,-0.9017175572499999,-1.071564885375,7.8452677500000005,-2.8673990833333334,-5.1553363333333335,0.06755208333333333,-0.001261249999999999,-0.0275775,-72.13333516666667,-82.05833441666665,70.45833383333336,Unknown
5,1534395963,0.2903166666666667,36.89642166666667,0.992797851625,0.21163940450000002,-0.077178955125,0.6860687022499999,-0.9017175572499999,-1.071564885375,7.8452677500000005,-2.8673990833333334,-5.1553363333333335,0.06755208333333333,-0.001261249999999999,-0.0275775,-72.13333516666667,-82.05833441666665,70.45833383333336,Unknown
6,1534395964,0.29079583333333336,36.89695416666667,0.992797851625,0.21163940450000002,-0.077178955125,0.6860687022499999,-0.9017175572499999,-1.071564885375,7.8452677500000005,-2.8673990833333334,-5.1553363333333335,0.06755208333333333,-0.001261249999999999,-0.0275775,-72.13333516666667,-82.05833441666665,70.45833383333336,Unknown
7,1534395965,0.291275,36.897486666666666,0.992797851625,0.21163940450000002,-0.077178955125,0.6860687022499999,-0.9017175572499999,-1.071564885375,7.8452677500000005,-2.8673990833333334,-5.1553363333333335,0.06755208333333333,-0.001261249999999999,-0.0275775,-72.13333516666667,-82.05833441666665,70.45833383333336,Unknown
8,1534395966,0.291275,36.897486666666666,0.992797851625,0.21163940450000002,-0.077178955125,0.6860687022499999,-0.9017175572499999,-1.071564885375,7.8452677500000005,-2.8673990833333334,-5.1553363333333335,0.06755208333333333,-0.001261249999999999,-0.0275775,-72.13333516666667,-82.05833441666665,70.45833383333336,Unknown
9,1534395967,0.29159083333333335,36.89805083333333,0.992797851625,0.21163940450000002,-0.077178955125,0.6860687022499999,-0.9017175572499999,-1.071564885375,7.8452677500000005,-2.8673990833333334,-5.1553363333333335,0.06755208333333333,-0.001261249999999999,-0.0275775,-72.13333516666667,-82.05833441666665,70.45833383333336,Unknown
10,1534395968,0.29190666666666665,36.898615,0.992797851625,0.21163940450000002,-0.077178955125,0.6860687022499999,-0.9017175572499999,-1.071564885375,7.8452677500000005,-2.8673990833333334,-5.1553363333333335,0.06755208333333333,-0.001261249999999999,-0.0275775,-72.13333516666667,-82.05833441666665,70.45833383333336,Unknown
11,1534395969,0.2918516666666667,36.898626666666665,0.9934387208125,0.21162414568750001,-0.0769348144375,0.7061068701875,-0.917461832,-1.010496183125,8.32403175,-2.0464615416666665,-5.028317333333334,0.05410975,0.021839333333333332,-0.015510166666666669,-80.91250241666667,-83.73333458333333,60.933334000000016,Unknown
12,1534395970,0.2917933333333333,36.898628333333335,0.9940795899999999,0.211608886875,-0.07669067375000001,0.726145038125,-0.93320610675,-0.949427480875,8.80279575,-1.2255239999999998,-4.901298333333334,0.04066741666666666,0.04493991666666666,-0.0034428333333333364,-89.69166966666667,-85.40833475000001,51.408334166666684,Unknown
13,1534395971,0.291745,36.89860333333333,0.9911193847499999,0.21121215825,-0.07672119125,0.74332061075,-0.885496183125,-1.0849236640000002,7.223931666666666,-1.8675981666666666,-5.235894750000001,-0.02279375,0.004658833333333331,-0.0008294999999999969,-92.10833491666666,-84.725001,52.50833391666666,Unknown
14,1534395972,0.291745,36.89860333333333,0.992660522375,0.211654663125,-0.07608032225,0.71135496175,-0.8616412213125,-1.031011450125,8.170492416666667,-1.0009975,-4.567699041666667,-0.014391000000000001,0.015612541666666663,0.0019202916666666682,-88.52916858333333,-80.120834375,58.22083395833333,Unknown
15,1534395973,0.291745,36.89860333333333,0.99420166,0.212097168,-0.07543945325,0.67938931275,-0.8377862594999999,-0.9770992362500001,9.117053166666667,-0.13439683333333338,-3.899503333333333,-0.0059882500000000005,0.026566249999999996,0.004670083333333333,-84.95000225,-75.51666775,63.93333400000001,Unknown
