,Actor,Behavior,start_time,end_time
301,ID1,walk up,1534401836881,1534401839381
302,ID1,ramble up,1534401839481,1534401840781
303,ID1,stand up,1534401840881,1534401845681
305,ID1,walk up,1534401845781,1534401847581
307,ID1,walk down,1534401847681,1534401850281
308,ID1,walk up,1534401850381,1534401856981
311,ID1,stand up,1534401857081,1534401859881
312,ID1,walk up,1534401859981,1534401862981
313,ID1,stand up,1534401863081,1534401867281
315,ID1,walk up,1534401867381,1534401870281
316,ID1,stand up,1534401870381,1534401872681
317,ID1,walk up,1534401872781,1534401880981
318,ID1,stand up,1534401881081,1534401883181
325,ID1,walk up,1534401901081,1534401925081
334,ID1,stand up,1534401925181,1534401928681
335,ID1,walk up,1534401928781,1534401931381
336,ID1,stand down,1534401931481,1534401973181
341,ID1,stand up,1534401973281,1534402014881
348,ID1,walk up,1534402014981,1534402031881
357,ID1,stand up,1534402031981,1534402033581
358,ID1,stand down,1534402033681,1534402034281
359,ID1,stand up,1534402034381,1534402034981
360,ID1,stand down,1534402035081,1534402048681
363,ID1,walk down,1534402048781,1534402051281
364,ID1,ramble down,1534402051381,1534402051981
365,ID1,stand down,1534402052081,1534402056081
366,ID1,ramble down,1534402056181,1534402058381
367,ID1,stand down,1534402058481,1534402061081
368,ID1,walk up,1534402061181,1534402071181
371,ID1,stand up,1534402071281,1534402072981
372,ID1,walk up,1534402073081,1534402076981
374,ID1,trot,1534402077081,1534402077481
375,ID1,walk up,1534402077581,1534402078381
376,ID1,stand up,1534402078481,1534402083081
378,ID1,walk up,1534402083181,1534402089681
380,ID1,stand up,1534402089781,1534402090281
381,ID1,walk up,1534402090381,1534402092281
382,ID1,trot,1534402092381,1534402096781
384,ID1,walk up,1534402096881,1534402099881
385,ID1,trot,1534402099981,1534402100481
386,ID1,walk up,1534402100581,1534402102581
388,ID1,stand down,1534402102681,1534402108081
391,ID1,walk up,1534402108181,1534402118481
392,ID1,stand up,1534402118581,1534402128281
393,ID1,walk up,1534402128381,1534402133881
394,ID1,trot,1534402133981,1534402134781
395,ID1,canter_right lead,1534402134881,1534402137481
396,ID1,walk up,1534402137581,1534402149881
397,ID1,stand down,1534402149981,1534402156381
399,ID1,stand up,1534402156481,1534402173781
401,ID1,walk up,1534402173881,1534402191581
406,ID1,stand up,1534402191681,1534402193681
408,ID1,walk up,1534402193781,1534402195181
409,ID1,stand down,1534402195281,1534402203581
411,ID1,walk up,1534402203681,1534402207681
413,ID1,stand up,1534402207781,1534402208381
415,ID1,walk up,1534402208481,1534402252481
425,ID1,stand down,1534402252581,1534402254881
427,ID1,walk up,1534402254981,1534402258781
429,ID1,walk down,1534402258881,1534402261681
430,ID1,stand down,1534402261781,1534402265481
432,ID1,walk down,1534402265581,1534402266381
433,ID1,ramble down,1534402266481,1534402269281
434,ID1,stand down,1534402269381,1534402272981
436,ID1,walk down,1534402273081,1534402277581
437,ID1,stand down,1534402277681,1534402297581
442,ID1,ramble down,1534402297681,1534402303781
443,ID1,stand up,1534402303881,1534402306481
444,ID1,walk down,1534402306581,1534402316781
447,ID1,stand up,1534402316881,1534402319481
448,ID1,walk up,1534402319581,1534402320481
449,ID1,stand up,1534402320581,1534402327381
451,ID1,walk up,1534402327481,1534402337381
453,ID1,walk down,1534402337481,1534402343481
457,ID1,stand down,1534402343581,1534402353381
461,ID1,walk up,1534402353481,1534402363881
465,ID1,stand down,1534402363981,1534402383081
468,ID1,walk up,1534402383181,1534402393281
470,ID1,stand down,1534402393381,1534402402781
472,ID1,stand up,1534402402881,1534402419881
473,ID1,walk up,1534402419981,1534402420781
474,ID1,stand down,1534402420881,1534402430081
475,ID1,walk down,1534402430181,1534402431181
476,ID1,stand down,1534402431281,1534402438781
477,ID1,walk down,1534402438881,1534402440581
480,ID1,stand down,1534402440681,1534402444581
481,ID1,ramble down,1534402444681,1534402447481
482,ID1,stand down,1534402447581,1534402463481
484,ID1,walk up,1534402463581,1534402466381
486,ID1,trot,1534402466481,1534402466881
487,ID1,walk up,1534402466981,1534402472681
488,ID1,walk down,1534402472781,1534402473381
489,ID1,stand down,1534402473481,1534402480281
492,ID1,ramble down,1534402480381,1534402482481
493,ID1,walk up,1534402482581,1534402499581
500,ID1,walk down,1534402499681,1534402502981
501,ID1,stand down,1534402503081,1534402505481
503,ID1,walk down,1534402505581,1534402506381
504,ID1,stand down,1534402506481,1534402545581
505,ID1,stand up,1534402545681,1534402548081
506,ID1,stand down,1534402548181,1534402565481
507,ID1,stand up,1534402565581,1534402579581
508,ID1,ramble down,1534402579681,1534402584081
509,ID1,stand up,1534402584181,1534402637781
511,ID1,walk up,1534402637881,1534402641381
512,ID1,stand down,1534402641481,1534402656781
513,ID1,stand up,1534402656881,1534402658981
514,ID1,stand down,1534402659081,1534402685581
515,ID1,walk up,1534402685681,1534402688981
517,ID1,stand up,1534402689081,1534402691181
518,ID1,walk down,1534402691281,1534402699781
519,ID1,walk up,1534402699881,1534402702181
520,ID1,walk down,1534402702281,1534402704181
521,ID1,stand down,1534402704281,1534402716481
524,ID1,stand up,1534402716581,1534402724981
526,ID1,stand down,1534402725081,1534402761481
527,ID1,stand up,1534402761581,1534402792581
530,ID1,walk up,1534402792681,1534402800581
533,ID1,stand down,1534402800681,1534402807581
535,ID1,ramble down,1534402807681,1534402814981
537,ID1,stand down,1534402815081,1534402829181
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
